"고유번호","작품분류코드","작품분류명","관리번호(년도)","관리번호(번호)","작품명(국문)","작품명(영문)","작품규격","액자규격","제작년도","재료/기법","기증자","수집년도","소장처분류코드","소장처분류명","작품캡션","작가명","메인이미지","썸네일이미지"
"48","A02","회화","1988","32","동시성","","130*161 (145*176.5)","145*176.5","1988","캔버스에 유채","","1988","B02","북서울미술관 수장고","서승원(1941― )은 홍익대학교 미술대학 회화과를 졸업하고, 이후 동 대학원에서 석사학위를 취득하였다. 1962년부터 1964년까지 국립현대미술관 신상회 공모전에서 특선을 받았으며, 1978년 한국미술대상전에서 최우수상을 수상하였다. 서울, 도쿄, 독일, 이태리 등에서 약 13회의 개인전을 열었으며, 200여회가 넘는 단체전에 참여하였다. 홍익대학교 미술대학 교수로 재직하였으며, 홍익대학교 미술대학 명예교수이다.  서승원의 예술 세계는 한국 모더니즘 미술에서 중요한 한 시기를 보여준다. 1962년 앵포르멜 추상이 주를 이루던 한국 미술계에서 최초의 기하학주의를 정립한 그룹 ‘오리진’을 창립하고 , 기하학적 추상이라는 한국 추상미술 제2세대를 이끌었다. 또한 새로운 예술에 대한 갈망에서 1970년 ‘한국아방가르드협회(AG)’ 창립에 참여하였고, 자신의 예술 세계에 기존의 틀에서 벗어난 새로운 조형적 질서를 도입하고자 노력하였다. 그의 이러한 탈앵포르멜적 시도는 초기 작업에서부터 현재에 이르기까지 기하학적 패턴과 ‘동시성’이라는 두 축을 이루며 나타난다. 그의 회화에 나타나는 ‘동시성’이란 작품에 등장하는 세 요소인 형태, 색채, 그리고 회화 공간이 위계를 이루거나 혹은 종속되는 것이 아니라 동일하고 균등하게 공존하는 것을 의미한다. 1990년대를 기점으로 그의 작업은 비평가 이일이 “이지적 세계로부터 따뜻한 체온이 감도는 감성적 세계로의 이행”으로 설명한 것처럼, 좀 더 따뜻한 추상의 세계로 변모한다. 이는 작가가 젊은 시절 만들어낸 ‘동시성’의 표현에서 한 발 더 나아가 중년의 작가가 자신의 작품과 관람자들 사이에서 감성의 동시성을 이끌어내고자 하는 의도로 여겨진다.  〈동시성〉(1988)은 서승원 작품의 주를 이루는 사각형 형태와, 무한하면서도 평면적인 배경, 그리고 그 둘을 채우고 있는 색채들의 조합을 보여준다. 평면과 무한함을 동시에 보여주는 어둡고 푸른 배경 위 한쪽에는 여러 개의 겹쳐진 사각 평면들이 앞뒤를 구분하지 않고 자리해 있다. 시간에서의 ‘동시성’이 과거도 현재도 미래도 아닌 바로 그 순간을 선후를 나누지 않고 공존하는 것을 의미하듯이, 작품 속 ‘동시성’은 작품에 등장하는 사각형의 형태와 배경의 회화적 공간, 그리고 그 둘을 채우고 있는 색채가 서로 일체되어 조화롭게 그 공간을 공유함을 의미한다. ","서승원","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=73","http://collections.eseoul.go.kr/data/art/thumb/0048.jpg"
"49","A03","드로잉&판화","1988","33","무제","","56 X 56","79 X 76","1988","리도그래프","","1988","B01","서소문본관 수장고","","장화진","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=74","http://collections.eseoul.go.kr/data/art/thumb/0049.jpg"
"50","A03","드로잉&판화","1988","34","아지랭이","","65 X 97","83 X 114","1988","혼합기법","","1988","B01","서소문본관 수장고","","권녕숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=77","http://collections.eseoul.go.kr/data/art/thumb/0050.jpg"
"51","A03","드로잉&판화","1988","35","편지 - 88629","","73 X 103","104 X 134","1988","실크스크린","","1988","B01","서소문본관 수장고","","백금남","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=80","http://collections.eseoul.go.kr/data/art/thumb/0051.jpg"
"52","A03","드로잉&판화","1988","36","작품 88","","52 X 72","79 X 99","1988","리도그래프","","1988","B02","북서울미술관 수장고","","이순만","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=83","http://collections.eseoul.go.kr/data/art/thumb/0052.jpg"
"53","A03","드로잉&판화","1988","37","점에서 공간으로 8808","","53 X 88.5","91 X 125","1988","리도그래프","","1988","B01","서소문본관 수장고","","이인화","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=84","http://collections.eseoul.go.kr/data/art/thumb/0053.jpg"
"54","A04","조각","1988","38","꿈","","70 X 130 X 40","","1988","화강암","","1988","B01","서소문본관 수장고","","민복진","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=87","http://collections.eseoul.go.kr/data/art/thumb/0054.jpg"
"55","A04","조각","1988","39","메시지 88 - 8","","97 X 56 X 56","","1988","지점토","","1988","B02","북서울미술관 수장고","","조성묵","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=90","http://collections.eseoul.go.kr/data/art/thumb/0055.jpg"
"56","A06","공예","1996","1","산 + 빛의 이야기","","33 X 10 X 6","3*13*14cm","1995","화강암, 금속","","1996","B02","북서울미술관 수장고","","정대유","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=91","http://collections.eseoul.go.kr/data/art/thumb/0056.jpg"
"57","A04","조각","1988","40","확산공간 88","","H73 X 166 X 68","","1988","청동","","1988","B02","북서울미술관 수장고","","이종각","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=92","http://collections.eseoul.go.kr/data/art/thumb/0057.jpg"
"58","A04","조각","1988","41","매듭","","H70 X 174 X 22","","1988","나무","","1988","B02","북서울미술관 수장고","","박기옥","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=93","http://collections.eseoul.go.kr/data/art/thumb/0058.jpg"
"59","A04","조각","1988","42","맥 88 - 4","","H60 X 66.5 X 36.5","","1988","동","","1988","B01","서소문본관 수장고","","김창희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=94","http://collections.eseoul.go.kr/data/art/thumb/0059.jpg"
"60","A04","조각","1988","43","무제","","83*61.5*74cm, 145*38*38cm, 250*38*38cm","","1988","동, 천, 종이","","1988","B02","북서울미술관 수장고","","이승택","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=95","http://collections.eseoul.go.kr/data/art/thumb/0060.jpg"
"61","A04","조각","1988","44","비상","","H86 X 159 X 34","","1988","동","","1988","B02","북서울미술관 수장고","","김정숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=96","http://collections.eseoul.go.kr/data/art/thumb/0061.jpg"
"62","A04","조각","1988","45","목신 8808","","H16 X 183 X 30","","1988","나무","","1988","B02","북서울미술관 수장고","","심문섭","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=97","http://collections.eseoul.go.kr/data/art/thumb/0062.jpg"
"63","A04","조각","1988","46","점 88 - 5","","H93 X 14 X 14","","1988","동","","1988","B02","북서울미술관 수장고","","최만린","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=98","http://collections.eseoul.go.kr/data/art/thumb/0063.jpg"
"64","A04","조각","1988","47","흔적","","H139 X 34 X 35","","1988","나무","","1988","B02","북서울미술관 수장고","","김봉구","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=99","http://collections.eseoul.go.kr/data/art/thumb/0064.jpg"
"65","A04","조각","1988","48","구름을 닮은 토루소","","H105 X 105 X 46","","1988","대리석","","1988","B02","북서울미술관 수장고","","이정자","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=100","http://collections.eseoul.go.kr/data/art/thumb/0065.jpg"
"66","A04","조각","1988","49","舞","","H81 X 70 X 42","","1988","동","","1988","B02","북서울미술관 수장고","","김영중","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=101","http://collections.eseoul.go.kr/data/art/thumb/0066.jpg"
"67","A04","조각","1988","50","麗日 - 88","","108 X 42 X 33","","1988","대리석","","1988","B01","서소문본관 수장고","<여일(麗日)-88>(1988)은 ‘화려한 봄날’이라는 뜻을 가진 부부 조각상이다. 단단하고 차가운 대리석은 작가의 손에 의해 부드러움과 따뜻함을 겸비한 부부의 모습으로 탄생했다. 어깨를 붙이고 나란히 서있는 부부의 형상은 얼굴과 몸, 손이 아주 희미하게만 암시될 정도로 추상화되어 있지만 그 형태 속에서 하나가 됨으로써 부부는 ‘일심동체’라는 덕목을 시각화한다. 이는 “신뢰와 소망으로 새로운 세대를 동경하는 부부 상을 만들었다. 이 다정한 부부의 생기 넘치는 아름다움과 정감이 주위를 흐뭇하게 물들이기를 바란다”(작가의 말)는 강태성의 바람을 전달한다. ","강태성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=102","http://collections.eseoul.go.kr/data/art/thumb/0067.jpg"
"68","A04","조각","1988","51","모자상","","178 X 99 X 63","","1988","동","","1988","B02","북서울미술관 수장고","","최기원","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=105","http://collections.eseoul.go.kr/data/art/thumb/0068.jpg"
"69","A04","조각","1988","52","積 88 - 17","","H125 X 36 X 17","","1988","대리석","","1988","B02","북서울미술관 수장고","","박석원","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=106","http://collections.eseoul.go.kr/data/art/thumb/0069.jpg"
"70","A04","조각","1988","53","情","","50 X 15 X 15","","1988","나무","","1988","B02","북서울미술관 수장고","","김찬식","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=107","http://collections.eseoul.go.kr/data/art/thumb/0070.jpg"
"71","A01","한국화","1989","1","산","","136 X 200","161 X 224.5","1989","종이에 수묵담채","","1989","B02","북서울미술관 수장고","","김동수","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=108","http://collections.eseoul.go.kr/data/art/thumb/0071.jpg"
"72","A01","한국화","1989","2","은총","","91 X 109","123 X 129","1989","종이에 수묵담채","","1989","B02","북서울미술관 수장고","","안동숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=111","http://collections.eseoul.go.kr/data/art/thumb/0072.jpg"
"73","A01","한국화","1989","3","산","","174 X 210.5","194 X 231","1989","종이에 수묵채색","","1989","B02","북서울미술관 수장고","","전래식","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=114","http://collections.eseoul.go.kr/data/art/thumb/0073.jpg"
"74","A01","한국화","1989","4","흔적","","167.6*133.3cm","190*155.5cm","1989","화선지에 수묵채색","","1989","B02","북서울미술관 수장고","","이석구","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=117","http://collections.eseoul.go.kr/data/art/thumb/0074.jpg"
"75","A01","한국화","1989","5","도석","","168 X 258","170*260cm","1989","마대에 혼합재료","","1989","B02","북서울미술관 수장고","","최한동","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=118","http://collections.eseoul.go.kr/data/art/thumb/0075.jpg"
"76","A01","한국화","1989","6","흔적 89","","177 X 88","202 X 111","1989","목판에 잉크","","1989","B02","북서울미술관 수장고","","한풍렬","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=119","http://collections.eseoul.go.kr/data/art/thumb/0076.jpg"
"77","A01","한국화","1989","7","영생","","115 X 70","133 X 87.5","1989","종이에 수묵채색","","1989","B02","북서울미술관 수장고","","박종기","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=122","http://collections.eseoul.go.kr/data/art/thumb/0077.jpg"
"78","A01","한국화","1989","8","작호도","","172.8*122.4cm","197*146cm","1989","종이에 수묵채색","","1989","B02","북서울미술관 수장고","","홍병학","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=123","http://collections.eseoul.go.kr/data/art/thumb/0078.jpg"
"79","A01","한국화","1989","9","화훼 `89","","196.2*132.6cm","216.5*150cm","1989","종이에 수묵채색","","1989","B02","북서울미술관 수장고","","홍석창","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=124","http://collections.eseoul.go.kr/data/art/thumb/0079.jpg"
"80","A02","회화","1989","10","잡초","","158 X 240","160 X 243","1989","캔버스에 유채","","1989","B02","북서울미술관 수장고","김종학(1937― )은 평안북도 신의주 태생으로 12세 되던 1948년 월남하였다. 1962년 서울대학교 회화과를 졸업한 뒤, 1968―70년 동경미술대학 서양화 판화과 연수를 거쳐 1977년 프랫 대학원 그래픽 센터에서 연수했다. 2006년 가나아트센터, 2008년 예화랑, 2011년 〈김종학〉(국립현대미술관), 2012년 〈김종학의 다정〉(갤러리현대) 등 20여회의 개인전을 가졌으며, 1999년 〈3인전: 곽훈, 김웅, 김종학〉(예화랑), 2010년 〈2010 한국현대미술의 중심에서〉(갤러리현대) 등 단체전에 참여하였다. 2001년 제2회 이인성미술상, 1966년 제5회 동경국제판화비엔날레 장려상을 수상하였다. 강원대학교 미술교육과 교수, 서울대학교 미술대학 교수로 재직하였다.  ‘설악의 화가’로 알려져 있는 김종학은 ‘별악산인(別嶽山人)’이라는 별호로도 불린다. 이는 대학에서 함께 공부했던 동양화가 송영방이 ‘또 다른 설악산’ 또는 ‘설악산의 분신’이라는 뜻으로 붙여준 것이다. 이처럼 김종학과 설악은 언제나 한 쌍으로 붙어 다닌다. 그러나 김종학이 처음부터 설악의 산세와 각종 꽃들과 식물을 그렸던 것은 아니다. 6.25 전쟁의 참화를 복구하기에 급급했던 시절 미술대학을 다녔고, 졸업 후 활동을 시작하던 시기에는 서구에서 유입된 추상표현주의나 앵포르멜과 같은 모더니즘 사조에 경도되었다. 군 복무 중 윤명로, 김봉태 등이 결성한 ‘60년 미술가협회’가 반국전을 외치면서 덕수궁 벽에 그림을 걸어 전시한 일명 ‘벽전’에도 출품했는데, 당시 그의 화풍은 미국의 추상표현주의를 연상시키는 것이었다. 1966년 동경국제판화 비엔날레 장려상 수상을 계기로 동경 미술대학 판화연구소에서 연수하는 등 목판화와의 인연은 다른 판화나 회화 재료에 비해 구하기 쉽고 제작의 용이함으로 시작된 것이었으나, 그가 한 때 탐닉했던 전통 목기의 아름다움에 근거한 것이다. 옛 목기의 단순한 형태와 뛰어난 비례감에서 현대적 미감을 충분히 발견할 수 있었던 것이다. 우리에게 익숙한 설악산 그림은 1979년에 시작되었다. 미술의 큰 흐름이 구상에서 추상으로 흘러온 것을 감안할 때 추상에서 구상으로 돌아 선 행보는 독특하다 할 수 있다. 그러나 김종학이 그려내는 설악은 겉모습의 재현에 치중한 것이 아니다. 정밀한 기교를 전혀 느낄 수 없는 호쾌한 붓질이 그려내는 각각의 대상은 “개별이면서도 전체이며, 대상으로서의 개별과 전체로서의 풍경이 오버랩 된다.”(오광수)  〈잡초〉(1989)에서도 배경과 형상이 구별되지 않는 균질한 화면을 보여준다. 중심이나 배경의 위계적 구조나 구성논리 없이 펼쳐진 화면은 현대 도시생활에서 잊혀진 자연의 원초적인 모습이며, 작가의 마음에 “내재화된 설악”, “설악에 사는 한 예술가의 내면풍경”(오광수)이라 할 수 있다. “설악을 색채와 형태로 바라보는 그의 시각”(김형국)은 산과 물, 꽃과 풀이라는 식상할 수 있는 소재를 추상의 정신을 기반으로 하는 구상적 풍경화라는 자신만의 조형언어를 정립할 수 있게 하였다. ","김종학(1937)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=125","http://collections.eseoul.go.kr/data/art/thumb/0080.jpg"
